Designator,Mid X,Mid Y,Rotation,Layer
D1,42.8625,-40.48125,90.0,top
D10,119.0625,-57.15,90.0,top
D11,42.8625,-76.2,90.0,top
D12,61.9125,-73.81875,90.0,top
D13,80.9625,-71.4375,90.0,top
D14,100.0125,-76.2,90.0,top
D15,119.0625,-76.2,90.0,top
D16,80.9625,-85.725,180.0,top
D17,103.730249,-88.10625,180.0,top
D18,114.3,-88.10625,180.0,top
D19,121.44375,-88.10625,90.0,top
D2,61.9125,-35.71875,90.0,top
D3,80.9625,-33.3375,90.0,top
D4,100.0125,-38.1,90.0,top
D5,119.0625,-38.1,90.0,top
D6,42.8625,-59.53125,90.0,top
D7,61.9125,-54.76875,90.0,top
D8,80.9625,-52.3875,90.0,top
D9,100.0125,-57.15,90.0,top
J1,133.27,-60.452,90.0,top
J2,133.27,-71.882,270.0,bottom
S1,33.3375,-40.48125,0.0,top
S10,109.5375,-57.15,0.0,top
S11,33.3375,-78.58125,0.0,top
S12,52.3875,-73.81875,0.0,top
S13,71.4375,-71.4375,0.0,top
S14,90.4875,-76.2,0.0,top
S15,109.5375,-76.2,0.0,top
S16,80.9625,-97.63125,0.0,top
S17,102.07625,-100.0125,350.0,top
S18,122.809,-106.553,335.0,top
S2,52.3875,-35.71875,0.0,top
S3,71.4375,-33.3375,0.0,top
S4,90.4875,-38.1,0.0,top
S5,109.5375,-38.1,0.0,top
S6,33.3375,-59.53125,0.0,top
S7,52.3875,-54.76875,0.0,top
S8,71.4375,-52.3875,0.0,top
S9,90.4875,-57.15,0.0,top
SW1,132.338,-89.408,0.0,top
